match_id,title_id
10512,96
10541,17
10542,16
10559,4227
10563,226
10577,3119
10578,1383
10588,234
10590,20
10595,787
10601,4578
10602,4938
10602,121
10602,6550
10603,4331
10604,5424
10606,4370
10608,4331
10609,4392
10620,54
10623,4000
10638,138
10640,576
10645,1859
10647,1558
10660,4331
10666,91
10683,121
10702,2021
10711,495
10777,16
10779,20
10802,229
10803,54
10805,16
10818,96
10834,16
10836,20
10838,491
10847,802
10849,95
10867,4066
10870,16
10875,16
10890,2021
10907,20
10911,59
10914,59
10938,20
10951,367
10958,367
10961,3397
10963,3397
10966,16
10970,1
10972,60
10975,20
10976,17
10998,787
10999,264
11002,897
11013,16
11016,787
11017,264
11020,95
11045,142
11046,144
11047,140
11063,16
11074,1859
11093,3
11109,4603
11123,1020
11141,5908
11143,131
11151,60
11170,15
11186,3796
11190,1028
11223,345
11224,179
11253,121
11255,122
11256,121
11256,1272
11257,1802
11258,2021
11259,1789
11260,1457
11260,151
11269,60
11276,23
11311,179
11323,60
11336,787
11363,235
11364,122
11372,179
11382,410
11393,54
11394,229
11396,892
11399,890
11402,524
11414,3117
11415,3116
11416,20
11425,897
11426,129
11437,122
11438,1272
11439,4578
11441,5224
11446,5424
11449,61
11457,1457
11468,1353
11485,16
11491,1903
11492,741
11493,740
11542,5150
11546,3967
11559,826
11569,180
11570,180
11571,180
11572,180
11574,180
11575,180
11577,180
11591,60
11607,508
11611,1333
11612,1894
11613,1576
11614,1577
11619,20
11620,138
11667,170
11681,179
11686,826
11692,264
11702,3
11717,757
11745,121
11750,3117
11751,491
11768,134
11769,179
11771,62
11775,17
11776,61
11777,20
11797,167
11804,180
11806,180
11816,3800
11844,3412
11846,1741
11847,461
11851,13
11872,532
11878,4380
11879,4380
11904,181
11910,17
11936,532
11950,1062
11953,903
11955,134
11956,902
11965,121
11966,121
11966,1272
11967,120
11988,4805
11997,4380
12018,1287
12019,181
12021,558
12022,650
12023,557
12024,61
12026,19
12028,61
12034,179
12039,179
12044,150
12072,229
12073,54
12092,20
12095,1555
