title_id,name
153,NWA Florida Heavyweight Championship
989,NWA Florida Tag Team Championship
989,PWF Tag Team       Championship
989,FCW Tag Team Championship
989,NWA Florida Tag Team Championship
4588,Niigata Openweight Championship
5090,ROH Women's World Championship
3796,GCW World Championship
3796,JCW Heavyweight  Championship
783,UWA World Tag Team Championship
1958,NWA FUW Women's Championship
2021,WWE NXT Women's Championship
2021,WWE NXT  Championship
2021,WWE NXT Women's Championship
5645,DEFY Women's Championship
18,WWE Women's Championship
18,World Women's Championship
18,WWE World Women's Championship
18,WWF World Women's Championship
3747,Mid-South Mississippi Championship
3747,NWA Tri-State Mississippi Championship
1249,CWFH Heritage Tag Team Championship
1249,NWA Heritage Tag Team Championship
1249,M1W Heritage Tag Team Championship
1249,M1W Tag Team Championship
3579,RevPro Undisputed British Women's Championship
3579,RevPro British Women's Championship
4884,WWE NXT Women's Tag Team Championship
133,NWA United States Heavyweight Championship
3320,PWR Scramble Championship
1171,WWA World Lightweight Championship
2542,FSW No Limits Championship
82,ZERO1 International Junior Heavyweight Championship
82,ZERO1-MAX International Junior Heavyweight Championship
82,AWA World Junior Heavyweight Championship
82,AWA/ZERO1-MAX/UPW/WORLD-1 Junior Heavyweight Championship
82,UPW/ZERO-ONE/WORLD-1 International Junior Heavyweight Championship
82,NWA/UPW/ZERO-ONE International Junior Heavyweight Championship
1154,AAA Americas Trios Championship
3296,NWA World Six Man Tag Team Championship
532,Mexican National Trios Championship
5034,Loko Championship
1976,RevPro Undisputed British Heavyweight Championship
1976,RevPro British Heavyweight Championship
2670,GFW Women's Championship
1723,PROGRESS World Championship
1723,PROGRESS Unified World Championship
1723,PROGRESS World Championship
1723,PROGRESS Championship
86,NWA International Lightweight Tag Team Championship
86,ZERO1-MAX Lightweight Tag Team Championship
86,NWA International Lightweight Tag Team Championship
3967,WWWF United States Heavyweight Championship
1846,GAORA TV Championship
2224,Union Pro MAX Championship
931,PNW Heavyweight Championship
931,NWA Pacific Northwest Heavyweight Championship
226,MLW World Tag Team Championship
226,MLW Global Tag Team Championship
5371,MLW Women's World Featherweight Championship
898,NWA OVW Hardcore Championship
479,NWF Heavyweight   Championship
479,NWF World Heavyweight Championship
5104,Catalyst Wrestling Championship
5104,Capitol Wrestling Championship
6145,OPW Heavyweight    Championship
2214,PROGRESS Tag Team Championship
557,Impact World Championship
557,Impact Global Championship
557,GFW Impact World Heavyweight Championship
557,Impact World Heavyweight Championship
557,TNA World Heavyweight Championship
528,Mexican National Middleweight Championship
2262,IWA World Heavyweight   Championship
2262,IWA International Heavyweight Championship
2598,British Empire Women's Championship
613,IWGP Third Belt Championship
5908,NWA World Women's Television Championship
1,ECW Heavyweight   Championship
1,ECW World Heavyweight  Championship
131,NWA National Heavyweight Championship
229,AWA World Tag Team Championship
390,OPW Tag Team Championship
234,WWF International Tag Team Championship
234,WWWF International Tag Team Championship
1605,CMLL-JAST International Junior Heavyweight Championship
1605,CMLL-REINA International Junior Heavyweight Championship
558,Impact World Tag Team Championship
558,GFW Tag Team  Championship
558,Impact World Tag Team Championship
558,TNA World Tag Team Championship
1789,WWE NXT Championship
3181,Phoenix Of RISE Championship
3373,PROGRESS Women's Championship
146,IWGP Junior Heavyweight Championship
146,J-Crown Championship
146,IWGP Junior Heavyweight Championship
2947,WrestlePro Gold Championship
2947,WrestlePro Championship
904,WWE Divas Championship
904,Unified WWE Divas Championship
904,WWE Divas Championship
988,NWA Southern Heavyweight Championship
988,NWA Florida Southern Heavyweight Championship
4938,NJPW STRONG Openweight Championship
5651,CMLL Rey Del Inframundo Championship
147,IWGP Junior Heavyweight Tag Team Championship
145,IWGP Heavyweight Championship
4215,TNT Women's Championship
1817,Southside Heavyweight Championship
1817,SWE World Heavyweight Championship
1817,SWE Heavyweight Championship
1817,NBW Southside Championship
621,ROW Heavyweight Championship
621,PWA Heavyweight Championship
87,WCW Hardcore Championship
1859,IWA United States Heavyweight Championship
1859,NWA United States Heavyweight    Championship
2451,Southside Women's Championship
2451,Queen Of Southside Championship
2768,NEVER Openweight Six Man Tag Team Championship
2715,PPW Tag Team    Championship
130,Osaka Pro Championship
130,Osaka Openweight Championship
130,OPW Championship
1557,NWA World Historic Light Heavyweight Championship
4380,DDT Iron Man Heavy Metal Championship
2812,WCR Tag Team Championship
2812,IWR Tag Team  Championship
1026,TNA King Of The Mountain Championship
1026,TNA Television Championship
1026,TNA Global Championship
1026,TNA Legends Championship
1561,UWN Television Championship
1561,CWFH International Television Championship
1561,NWA International Television Championship
2699,ICW Women's World Championship
2699,ICW Women's   Championship
4922,GCW Ultraviolent Championship
1734,TWF World Women's Championship
1577,World Of Stardom Championship
3317,WWN Championship
1045,Anarchy Young Lions Championship
1045,NWA Anarchy Young Lions Championship
478,UWA World Welterweight Championship
1140,AAA World Cruiserweight Championship
13,WWE European Championship
13,WWF European Championship
3872,Synergy Championship
3102,WWE Universal Championship
1200,Occidente Light Heavyweight Championship
54,AWA World Heavyweight Championship
1196,Impact Knockouts Tag Team Championship
1196,TNA Women's Knockout Tag Team Championship
365,WLW Heavyweight Championship
986,WCW United States Tag Team Championship
986,NWA United States Tag Team Championship
890,MSW Heavyweight    Championship
890,NWA Mountain State Wrestling Heavyweight Championship
890,MSW Heavyweight    Championship
5838,NWA Wildside Tag Team Championship
5838,NWA Georgia Tag Team  Championship
4706,Lariato Pro Championship
3927,RCW      Championship
6097,Tenryu Project United National Tag Team Championship
739,KO-D Openweight Championship
4470,CMLL-Japan Women's Championship
1954,Regina Di WAVE Championship
5813,AAA Leyenda Azul Blue Demon Championship
2,ECW World Television Championship
2,ECW Television Championship
2520,International Heavyweight Championship
4216,TNT Extreme Division Championship
1977,RevPro Undisputed British Tag Team Championship
1977,RevPro British Tag Team Championship
134,NWA World Junior Heavyweight Championship
134,J-Crown Championship
134,NWA World Junior Heavyweight Championship
391,STRONGEST-K Tag Team Championship
2251,Smash Wrestling Championship
4685,NJPW King Of Pro-Wrestling Championship
5424,AEW International Championship
5424,AEW All-Atlantic Championship
59,WCW World Tag Team Championship
59,NWA/WCW Unified World Tag Team Championship
59,WCW World Tag Team Championship
4331,AEW World Championship
461,BJW Death Match Heavyweight Championship
470,WEW Hardcore Championship
1955,AAA Fusion Championship
90,BCW Can-Am Tag Team Championship
90,MXPW Tag Team  Championship
90,BCW Can-Am Tag Team Championship
800,NWA Missouri Heavyweight Championship
1234,Open The Freedom Gate Championship
1995,ECW Pennsylvania Heavyweight Championship
2671,GFW Global Championship
1531,IWGP Intercontinental Championship
3426,Kyushu Pro Tag Team Championship
235,FIP World Heavyweight Championship
235,FIP Heavyweight Championship
139,NWA World Welterweight Championship
139,J-Crown Championship
139,NWA World Welterweight Championship
5043,Zona 23 Extremo Championship
787,UWF North American Championship
787,Mid-South North American Championship
787,NWA Tri-State North American Championship
575,SHIMMER Championship
404,Tenryu Project International Junior Heavyweight Tag Team Championship
404,WAR International Junior Heavyweight Tag Team Championship
343,AWA World Light Heavyweight Championship
4661,FTW Championship
3397,NWA Los Angeles Beat The Champ Championship
3397,NWA Los Angeles Wrestling Jackpot Championship
3397,NWA Los Angeles Beat The Champ Championship
1469,Innovate Television Championship
1469,IPW Television Championship
1469,NWA Smoky Mountain Television Championship
1469,NWA Southern Television  Championship
1469,NWA Smoky Mountain Television Championship
1469,CWA Television Championship
128,OVW Heavyweight Championship
128,NWA OVW Heavyweight Championship
103,AAA World Mixed Tag Team Championship
149,WCW Cruiserweight Tag Team Championship
2074,UWF Heavyweight   Championship
2074,WWF International Championship
3085,New South Championship
758,WCW World Cruiserweight Championship
508,Mexican National Welterweight Championship
200,World Class World Light Heavyweight Championship
801,WCW International World Heavyweight Championship
96,CMLL World Tag Team Championship
410,UWA World Trios Championship
2422,DDT King Of Dark Championship
773,AAA Mega Championship
5035,SPW Southeast Asian Championship
2037,SHINE Championship
2003,King Of FREEDOM World Championship
158,NWA World Television   Championship
158,NWA Wildside Television Championship
158,NCW Television   Championship
4394,GHC National Championship
