title_id,name,promotion,active,rating,votes
5153,PWR Remix Championship,1779.0,True,,
88,BCW Heavyweight   Championship,85.0,True,,
5649,CMLL World Micro Championship,78.0,True,,
2739,IPW Women's   Championship,1468.0,False,,
357,Anarchy Tag Team Championship,54.0,False,,
757,ECW World Heavyweight Championship,3.0,False,9.07,68.0
2543,FSW Tag Team  Championship,1215.0,True,,
311,Open The Dream Gate Championship,96.0,True,9.36,70.0
93,CMLL World Middleweight Championship,78.0,True,,
3580,ICW Alternative Championship,390.0,True,,
91,CMLL World Heavyweight Championship,78.0,True,,
20,WWE Championship,1.0,True,9.0,663.0
1029,CMLL Arena Coliseo Tag Team Championship,78.0,True,1.0,1.0
140,GHC Heavyweight Championship,8.0,True,9.35,138.0
995,SHIMMER Tag Team Championship,90.0,False,7.5,6.0
1467,NWA Southeastern Heavyweight  Championship,726.0,False,,
367,NWA North American Heavyweight Championship,9.0,False,,
5177,Spirit Of Ganbare World Openweight Championship,118.0,True,,
345,NWA World Women's Championship,9.0,True,7.0,2.0
4066,WWE Women's Tag Team Championship,1.0,True,3.72,112.0
1984,WildKat Revolution Championship,846.0,True,8.0,1.0
1770,WAVE Tag Team Championship,326.0,True,,
6069,WWE World Heavyweight  Championship,1.0,True,,
518,PWF United States Heavyweight Championship,259.0,False,,
5837,NWA Wildside Heavyweight Championship,15.0,False,,
199,World Class World Tag Team Championship,62.0,False,,
5889,JCW Championship,710.0,True,,
755,World Heavyweight    Championship,1.0,False,6.85,81.0
891,NWA Mountain State Television Championship,389.0,False,,
1287,AAA Reina de Reinas Championship,122.0,True,7.75,4.0
1572,Vendetta Pro International Tag Team Championship,630.0,True,,
25,AJPW World Tag Team Championship,6.0,True,8.74,35.0
4604,RCW International Championship,1135.0,True,,
180,NWA World Tag Team Championship,9.0,True,7.08,36.0
258,IWA Puerto Rico Intercontinental Championship,51.0,True,,
4423,IWS Women's Championship,50.0,True,,
17,World Heavyweight Championship,1.0,False,8.93,357.0
1081,AAA Campeon de Campeones Championship,122.0,False,,
526,Mexican National Cruiserweight Championship,,False,,
4642,Horror Slam Tag Team Championship,2544.0,True,,
740,KO-D Tag Team Championship,118.0,True,8.6,10.0
1114,LPWA Championship,541.0,False,,
3200,ROH World Six Man Tag Team Championship,4.0,True,5.93,30.0
94,CMLL World Welterweight Championship,78.0,True,8.0,1.0
411,IWS World Heavyweight Championship,50.0,True,,
61,WWE RAW Tag Team Championship,1.0,True,6.16,287.0
804,NWA International Heavyweight Championship,6.0,False,,
153,NWA Florida Heavyweight Championship,437.0,False,,
989,NWA Florida Tag Team Championship,1591.0,False,,
4588,Niigata Openweight Championship,2716.0,True,,
5090,ROH Women's World Championship,4.0,True,8.0,11.0
3796,GCW World Championship,710.0,True,9.33,15.0
783,UWA World Tag Team Championship,137.0,True,,
1958,NWA FUW Women's Championship,768.0,False,,
2021,WWE NXT Women's Championship,1.0,True,9.09,234.0
5645,DEFY Women's Championship,1915.0,True,,
18,WWE Women's Championship,1.0,False,5.58,139.0
3747,Mid-South Mississippi Championship,64.0,False,,
1249,CWFH Heritage Tag Team Championship,966.0,False,,
3579,RevPro Undisputed British Women's Championship,962.0,True,5.0,1.0
4884,WWE NXT Women's Tag Team Championship,1.0,False,4.1,31.0
133,NWA United States Heavyweight Championship,9.0,False,9.33,3.0
3320,PWR Scramble Championship,1779.0,False,,
1171,WWA World Lightweight Championship,123.0,False,,
2542,FSW No Limits Championship,1215.0,True,,
