event_id,broadcast_type,broadcast_date,tv_station_network,tv_rating
224451,Taped,2019-03-11,Gaora TV,
384627,Live,2024-04-06,TrillerTV,
307752,Live,2021-04-06,Wrestle Universe,
360604,Live,2023-02-10,FOX,
48703,Taped,1997-10-06,Televisa Deportes,
238018,Taped,2019-08-24,FITE TV,
86782,Taped,2012-10-31,J-SPORTS ESPN,
98627,Taped,2013-07-26,Syfy,1.9
56525,Taped,,NET TV,
154160,Taped,,niconico.jp,
174559,Live,2017-05-09,YouTube.com,
88936,Taped,2004-02-21,Galavision,
113623,Taped,2014-07-17,WWE Network,
212218,Taped,2019-02-02,Fight Network,
200819,Taped,1992-04-25,TBS,1.7
65241,Taped,2011-06-26,Televisa Deportes,
290570,Taped,,AMX,
133853,Taped,2015-06-06,CadenaTres,
15730,Taped,1995-11-11,lokale TV Sender (USA),
135785,,,,
10608,Live,2007-04-01,,
67156,Taped,2011-07-30,Fox Sports,
13063,Live,,,
87400,Taped,,TV Asahi,
335161,Taped,2022-01-25,FITE TV,
287283,Live,2020-10-10,FITE TV,
199666,Taped,2018-05-30,WWE Network,
335153,Taped,2022-01-27,YouTube.com,
314468,Taped,1990-03-17,TBS,
293604,Taped,2020-10-03,Fight Network,
25690,Live,,PPV Sender,
356401,Live,2022-12-02,Fox Sports 1,
63479,Taped,2011-05-16,USA Network,
8487,Taped,,Nippon TV,
121737,Taped,2014-12-23,WWE Network,
18060,Taped,1984-03-17,lokale TV Sender (USA),
250170,Taped,2020-01-21,YouTube.com,
301682,Taped,,,
335705,Taped,2022-02-11,WWE Network,
307928,Taped,2021-04-07,Wrestle Universe,
231379,Live,2019-07-26,FITE TV,
54631,Taped,,TV Asahi,
11970,Taped,2007-05-07,lokale TV Sender (USA),
55837,Taped,2007-10-28,Televisa Deportes,
1522,Taped,2005-01-14,FSN,0.3
49225,,,,
293649,Live,2020-10-17,Wrestle Universe,
58536,Live,2011-01-04,TV Asahi,
37615,Taped,1993-04-25,Televisa Deportes,
59321,Taped,2011-01-28,Samurai! TV,
129210,Taped,2015-05-22,Destination America,
9945,Taped,2007-01-26,The CW,2.6
360502,Live,2023-04-19,TBS,
54353,Taped,2006-12-10,Televisa Deportes,
96768,Taped,,Nippon TV,
62139,Taped,1996-12-07,TBS,
8893,Taped,2000-05-21,USA Network,
158037,Taped,2016-08-28,Samurai! TV,
41601,Taped,1997-03-15,TV Asahi,
188160,Live,2017-11-21,YouTube.com,
246627,Taped,2019-11-08,YouTube.com,
133306,Taped,2014-09-03,Challenge TV,
58759,Taped,1996-11-09,TBS,
222676,Live,2019-02-03,niconico.jp,
310694,Taped,2021-05-05,YouTube.com,
158449,Taped,2016-07-29,niconico.jp,
167349,Live,2017-01-03,USA Network,
325961,Taped,2021-10-12,YouTube.com,
355210,Live,2022-11-05,Wrestle Universe,
86766,Taped,2012-10-24,ion Television,
97361,Taped,,Nippon TV,
80544,Live,2012-06-08,J-SPORTS ESPN,
127431,,,,
330985,Taped,2021-12-09,YouTube.com,
338396,Live,2022-03-15,YouTube.com,
124467,Taped,1964-10-31,,
201546,Taped,,AXS TV,
352111,Live,2022-09-20,YouTube.com,
13836,,,,
254471,Taped,2020-02-11,YouTube.com,
81659,Taped,1991-05-11,Syndication,
61300,Live,2011-03-21,USA Network,3.3
15581,Taped,1994-01-15,lokale TV Sender (USA),
177300,Taped,1983-01-09,,
330663,Live,2021-12-05,Abema TV / Wrestle Universe,
112997,Taped,1995-12-09,TBS,
182038,Taped,2002-08-07,Samurai! TV,
316510,Live,2021-06-30,Wrestle Universe,
41356,Taped,,Nippon TV,
333581,Taped,2022-01-06,AXS TV,
197703,Taped,,AJPW.tv,
367476,Taped,2023-05-25,AXS TV,
70591,Taped,2011-10-19,WWE.com,
347757,Taped,1980-07-26,,
206730,Taped,2018-11-03,lokale TV Sender (USA),
11973,Taped,2007-05-28,lokale TV Sender (USA),
41270,Live,2009-07-13,USA Network,3.5
167047,Taped,1979-08-04,,
91426,Taped,1994-07-03,TBS,
96638,Taped,2013-06-13,Spike TV,1.0
311032,Live,2021-06-19,FITE TV,
132571,Taped,2014-04-09,Challenge TV,
132390,Taped,1971-09-25,,
185317,Taped,1985-08-04,,
185639,Live,2017-10-23,USA Network,
304813,Taped,2021-03-01,YouTube.com,
84071,Taped,2012-09-01,The CW,
323852,Taped,1990-12-02,TBS,
6329,Taped,1999-04-22,TBS,3.3
280763,Taped,2020-07-18,Samurai! TV,
14821,Taped,1992-06-13,lokale TV Sender (USA),
311597,Taped,,HT,
294085,Taped,2020-10-22,Hulu,
38672,Taped,,TV Asahi,
61134,Taped,,TV Asahi,
160938,Live,2016-09-13,YouTube.com,
118319,Taped,1998-06-13,lokale TV Sender (USA),
180914,Live,2017-08-02,Samurai! TV,
16850,Taped,1989-04-29,TBS,
74487,Taped,2012-01-21,Samurai! TV,
366522,Live,2023-05-04,Abema TV / Wrestle Universe,
89014,Taped,2012-12-11,Samurai! TV,
35076,Taped,1993-03-14,Televisa Deportes,
178636,Taped,1984-02-19,,
136043,Taped,2015-07-04,Televisa Deportes,
33863,Taped,1992-06-27,lokale TV Sender (USA),
166664,Live,2016-12-25,,
94115,Taped,2013-04-07,Samurai! TV,
90537,Taped,2013-01-30,Gaora TV,
214367,Taped,2018-11-03,Fight Network,
171887,Live,2017-04-04,NJPWWorld.com,
124832,Taped,2015-07-01,PPV Sender,
125224,Taped,1966-02-21,,
320573,Taped,2021-08-17,YouTube.com,
398,Live,1999-05-16,,
16214,Taped,2001-11-10,lokale TV Sender (USA),
124110,,,,
356902,Taped,2022-11-24,AXS TV,
140366,Live,2015-12-04,NJPWWorld.com,
3886,Taped,1998-10-04,USA Network,3.8
343940,Taped,2022-05-18,Wrestle Universe,
17864,Taped,2007-10-15,TheSuperstation.tv,
157663,Taped,1984-11-23,TV Asahi,
19834,Taped,1986-05-17,lokale TV Sender (USA),
48576,Taped,1997-03-10,Televisa Deportes,
5124,Taped,2005-12-24,Spike TV,0.9
285533,Live,2020-08-27,Samurai! TV,
47005,Taped,1995-07-30,Televisa Deportes,
11458,Taped,2003-11-08,lokale TV Sender (USA),
56020,Taped,2010-10-18,Gaora TV,
126392,Taped,1967-01-21,,
39994,Live,2009-06-04,G+,
30444,Live,1982-11-25,PRISM Network,
340687,Taped,2022-04-19,YouTube.com,
18421,Taped,1982-09-25,lokale TV Sender (USA),
78375,Taped,1996-08-03,Televisa Deportes,
394587,Taped,1982-05-29,lokale TV Sender (USA),
198710,Taped,2018-05-11,PPV Sender,
